iter	Passed	Remaining
331	6718	13518
332	6735	13490
333	6753	13467
334	6772	13443
335	6790	13418
336	6805	13388
337	6822	13362
338	6844	13345
339	6865	13326
340	6886	13309
341	6907	13289
342	6928	13271
343	6947	13248
344	6965	13224
345	6985	13203
346	7000	13174
347	7016	13146
348	7034	13121
349	7053	13098
350	7071	13075
351	7091	13054
352	7111	13034
353	7132	13016
354	7149	12989
355	7167	12966
356	7187	12944
357	7202	12916
358	7220	12891
359	7239	12870
360	7257	12847
361	7278	12827
362	7296	12803
363	7317	12784
364	7337	12764
365	7358	12747
366	7379	12727
367	7397	12703
368	7414	12679
369	7434	12658
370	7452	12635
371	7471	12612
372	7489	12589
373	7510	12570
374	7534	12557
375	7555	12538
376	7579	12524
377	7593	12495
378	7610	12469
379	7629	12448
380	7644	12419
381	7662	12396
382	7682	12375
383	7700	12352
384	7719	12331
385	7740	12312
386	7764	12299
387	7783	12277
388	7803	12257
389	7821	12233
390	7836	12206
391	7854	12183
392	7874	12162
393	7894	12142
394	7912	12118
395	7933	12100
396	7953	12081
397	7975	12063
398	7992	12038
399	8013	12019
400	8031	11997
401	8050	11976
402	8068	11953
403	8093	11939
404	8109	11914
405	8128	11892
406	8148	11872
407	8171	11856
408	8197	11844
409	8216	11824
410	8235	11802
411	8257	11784
412	8278	11766
413	8298	11746
414	8317	11724
415	8334	11700
416	8359	11687
417	8380	11669
418	8405	11655
419	8424	11633
420	8446	11616
421	8471	11603
422	8492	11584
423	8512	11564
424	8528	11539
425	8546	11515
426	8566	11495
427	8587	11476
428	8609	11459
429	8629	11439
430	8649	11418
431	8669	11398
432	8689	11378
433	8708	11357
434	8724	11332
435	8741	11307
436	8760	11285
437	8776	11260
438	8796	11240
439	8817	11222
440	8834	11198
441	8852	11176
442	8868	11150
443	8885	11127
444	8902	11103
445	8918	11078
446	8938	11058
447	8959	11039
448	8979	11018
449	9004	11005
450	9022	10983
451	9040	10960
452	9058	10937
453	9075	10914
454	9092	10890
455	9110	10868
456	9125	10842
457	9140	10816
458	9161	10797
459	9177	10774
460	9199	10756
461	9215	10731
462	9234	10710
463	9254	10690
464	9268	10663
465	9284	10639
466	9301	10616
467	9316	10590
468	9333	10567
469	9356	10550
470	9377	10532
471	9398	10513
472	9418	10493
473	9436	10471
474	9454	10449
475	9468	10423
476	9484	10399
477	9499	10374
478	9516	10350
479	9532	10327
480	9552	10307
481	9569	10284
482	9589	10264
483	9609	10244
484	9628	10223
485	9647	10203
486	9663	10179
487	9679	10155
488	9697	10133
489	9713	10109
490	9728	10085
491	9747	10064
492	9763	10040
493	9780	10018
494	9799	9997
495	9816	9975
496	9835	9954
497	9854	9934
498	9868	9908
499	9886	9886
500	9901	9861
501	9920	9841
502	9939	9820
503	9956	9798
504	9972	9774
505	9987	9750
506	10003	9727
507	10022	9707
508	10040	9685
509	10058	9663
510	10077	9643
511	10092	9619
512	10107	9594
513	10121	9570
514	10140	9550
515	10158	9528
516	10174	9504
517	10190	9482
518	10206	9459
519	10226	9439
520	10247	9421
521	10269	9403
522	10284	9379
523	10301	9357
524	10320	9337
525	10339	9317
526	10354	9293
527	10372	9272
528	10386	9247
529	10401	9223
530	10423	9206
531	10441	9185
532	10460	9164
533	10477	9143
534	10493	9120
535	10510	9098
536	10526	9075
537	10542	9053
538	10562	9033
539	10578	9011
540	10595	8989
541	10614	8969
542	10631	8947
543	10648	8926
544	10671	8908
545	10692	8891
546	10711	8870
547	10727	8848
548	10745	8827
549	10761	8805
550	10779	8783
551	10795	8761
552	10813	8740
553	10827	8716
554	10845	8695
555	10863	8675
556	10885	8657
557	10904	8637
558	10922	8616
559	10939	8595
560	10957	8574
561	10974	8553
562	10991	8531
563	11012	8512
564	11025	8488
565	11042	8467
566	11062	8447
567	11079	8426
568	11123	8425
569	11146	8409
570	11164	8388
571	11182	8367
572	11199	8346
573	11217	8325
574	11234	8303
575	11251	8282
576	11269	8261
577	11287	8241
578	11307	8221
579	11329	8204
580	11348	8184
581	11367	8163
582	11382	8141
583	11399	8120
584	11417	8099
585	11436	8079
586	11454	8059
587	11476	8041
588	11495	8021
589	11514	8001
590	11533	7981
591	11553	7962
592	11571	7942
593	11589	7921
594	11607	7900
595	11622	7878
596	11641	7858
597	11659	7838
598	11678	7818
599	11702	7801
600	11721	7782
601	11741	7762
602	11760	7742
603	11776	7720
604	11795	7701
605	11812	7680
606	11831	7660
607	11852	7641
608	11873	7623
609	11892	7603
610	11912	7584
611	11933	7565
612	11954	7546
613	11975	7528
614	11992	7507
615	12010	7487
616	12028	7466
617	12049	7447
618	12065	7426
619	12083	7406
620	12107	7389
621	12130	7371
622	12152	7353
623	12171	7333
624	12189	7313
625	12207	7293
626	12224	7272
627	12243	7252
628	12261	7232
629	12278	7211
630	12296	7190
631	12317	7172
632	12335	7152
633	12360	7135
634	12380	7116
635	12400	7096
636	12418	7077
637	12437	7056
638	12458	7038
639	12479	7019
640	12496	6998
641	12514	6978
642	12532	6958
643	12557	6941
644	12575	6921
645	12595	6901
646	12612	6881
647	12631	6861
648	12647	6840
649	12664	6819
650	12679	6797
651	12696	6776
652	12711	6754
653	12728	6734
654	12747	6714
655	12768	6695
656	12787	6676
657	12804	6655
658	12820	6633
659	12841	6615
660	12860	6595
661	12875	6573
662	12892	6553
663	12908	6531
664	12924	6510
665	12941	6489
666	12959	6469
667	12978	6450
668	12997	6430
669	13012	6408
670	13028	6387
671	13045	6367
672	13058	6344
673	13072	6322
674	13089	6302
675	13107	6282
676	13123	6261
677	13172	6255
678	13221	6250
679	13239	6230
680	13266	6214
681	13285	6194
682	13301	6173
683	13317	6152
684	13334	6131
685	13348	6110
686	13362	6088
687	13378	6067
688	13396	6046
689	13413	6026
690	13432	6006
691	13450	5986
692	13465	5965
693	13481	5944
694	13496	5923
695	13513	5902
696	13529	5881
697	13546	5860
698	13559	5838
699	13575	5817
700	13591	5797
701	13607	5776
702	13627	5757
703	13646	5737
704	13661	5716
705	13678	5696
706	13694	5675
707	13711	5655
708	13728	5634
709	13744	5613
710	13758	5592
711	13774	5571
712	13791	5551
713	13808	5531
714	13826	5511
715	13845	5491
716	13859	5470
717	13876	5450
718	13891	5428
719	13907	5408
720	13925	5388
721	13942	5368
722	13959	5348
723	13975	5327
724	13992	5307
725	14008	5286
726	14026	5267
727	14044	5247
728	14058	5226
729	14075	5205
730	14089	5184
731	14105	5164
732	14122	5144
733	14137	5123
734	14152	5102
735	14165	5081
736	14182	5061
737	14198	5040
738	14216	5020
739	14233	5001
740	14250	4980
741	14265	4960
742	14284	4941
743	14300	4920
744	14317	4900
745	14329	4878
746	14345	4858
747	14356	4836
748	14371	4816
749	14386	4795
750	14403	4775
751	14420	4755
752	14438	4736
753	14454	4715
754	14470	4695
755	14483	4674
756	14499	4654
757	14517	4634
758	14532	4614
759	14547	4593
760	14562	4573
761	14578	4553
762	14593	4533
763	14608	4512
764	14627	4493
765	14646	4474
766	14664	4454
767	14679	4434
768	14695	4414
769	14712	4394
770	14728	4374
771	14743	4354
772	14759	4334
773	14775	4314
774	14791	4294
775	14805	4273
776	14824	4254
777	14841	4235
778	14858	4215
779	14876	4195
780	14891	4175
781	14909	4156
782	14926	4136
783	14941	4116
784	14957	4096
785	14973	4076
786	14989	4056
787	15005	4036
788	15023	4017
789	15044	3999
790	15063	3980
791	15087	3962
792	15104	3942
793	15121	3923
794	15137	3903
795	15155	3884
796	15171	3864
797	15187	3844
798	15204	3824
799	15221	3805
800	15241	3786
801	15260	3767
802	15277	3747
803	15289	3727
804	15314	3709
805	15332	3690
806	15354	3672
807	15375	3653
808	15399	3635
809	15437	3621
810	15467	3604
811	15488	3585
812	15518	3569
813	15534	3549
814	15549	3529
815	15565	3509
816	15581	3490
817	15599	3470
818	15616	3451
819	15634	3432
820	15658	3413
821	15679	3395
822	15697	3376
823	15713	3356
824	15729	3336
825	15746	3316
826	15762	3297
827	15779	3277
828	15795	3258
829	15811	3238
830	15829	3219
831	15846	3199
832	15863	3180
833	15882	3161
834	15900	3142
835	15918	3122
836	15938	3103
837	15956	3084
838	15971	3064
839	15988	3045
840	16006	3026
841	16022	3006
842	16043	2987
843	16063	2969
844	16088	2951
845	16114	2933
846	16142	2916
847	16168	2898
848	16198	2881
849	16219	2862
850	16243	2844
851	16264	2825
852	16284	2806
853	16301	2786
854	16321	2767
855	16340	2748
856	16356	2729
857	16372	2709
858	16389	2690
859	16403	2670
860	16420	2650
861	16437	2631
862	16453	2612
863	16471	2592
864	16493	2574
865	16510	2554
866	16527	2535
867	16546	2516
868	16564	2496
869	16584	2478
870	16597	2458
871	16613	2438
872	16630	2419
873	16645	2399
874	16661	2380
875	16679	2361
876	16696	2341
877	16712	2322
878	16731	2303
879	16745	2283
880	16762	2264
881	16778	2244
882	16793	2225
883	16809	2205
884	16826	2186
885	16842	2167
886	16859	2147
887	16877	2128
888	16894	2109
889	16909	2089
890	16927	2070
891	16943	2051
892	16960	2032
893	16979	2013
894	16997	1994
895	17026	1976
896	17050	1957
897	17076	1939
898	17097	1920
899	17123	1902
900	17153	1884
901	17166	1865
902	17185	1846
903	17200	1826
904	17215	1807
905	17230	1787
906	17247	1768
907	17261	1748
908	17272	1729
909	17286	1709
910	17304	1690
911	17321	1671
912	17339	1652
913	17354	1632
914	17370	1613
915	17385	1594
916	17400	1574
917	17417	1555
918	17432	1536
919	17448	1517
920	17464	1498
921	17479	1478
922	17493	1459
923	17511	1440
924	17529	1421
925	17546	1402
926	17563	1383
927	17580	1363
928	17596	1344
929	17611	1325
930	17627	1306
931	17641	1287
932	17656	1267
933	17668	1248
934	17683	1229
935	17696	1210
936	17716	1191
937	17742	1172
938	17766	1154
939	17794	1135
940	17829	1117
941	17855	1099
942	17876	1080
943	17897	1061
944	17913	1042
945	17928	1023
946	17945	1004
947	17966	985
948	17984	966
949	18000	947
950	18017	928
951	18028	909
952	18043	889
953	18059	870
954	18077	851
955	18089	832
956	18105	813
957	18121	794
958	18137	775
959	18154	756
960	18171	737
961	18187	718
962	18205	699
963	18221	680
964	18237	661
965	18254	642
966	18273	623
967	18290	604
968	18306	585
969	18321	566
970	18335	547
971	18354	528
972	18374	509
973	18389	490
974	18401	471
975	18415	452
976	18431	433
977	18447	414
978	18463	396
979	18484	377
980	18512	358
981	18534	339
982	18579	321
983	18612	302
984	18632	283
985	18652	264
986	18667	245
987	18684	226
988	18699	207
989	18714	189
990	18729	170
991	18749	151
992	18765	132
993	18781	113
994	18799	94
995	18815	75
996	18830	56
997	18846	37
998	18862	18
999	18878	0
