epoch,Thumb,Index,Middle,Ring,Pinky,id
128,0,0,0,0,0,3
129,0,0,100,100,100,4
130,0,0,0,0,0,5
131,100,100,0,0,0,6
132,0,0,0,0,0,7
133,100,100,100,100,100,8
134,0,0,0,0,0,9
135,0,0,0,0,0,1
136,100,0,0,0,0,2
137,0,0,0,0,0,3
138,0,0,100,100,100,4
139,0,0,0,0,0,5
140,100,100,0,0,0,6
141,0,0,0,0,0,7
142,100,100,100,100,100,8
143,0,0,0,0,0,9
144,0,0,0,0,0,1
145,100,0,0,0,0,2
146,0,0,0,0,0,3
147,0,0,100,100,100,4
148,0,0,0,0,0,5
149,100,100,0,0,0,6
150,0,0,0,0,0,7
151,100,100,100,100,100,8
152,0,0,0,0,0,9
153,0,0,0,0,0,1
154,100,0,0,0,0,2
155,0,0,0,0,0,3
156,0,0,100,100,100,4
157,0,0,0,0,0,5
158,100,100,0,0,0,6
159,0,0,0,0,0,7
160,100,100,100,100,100,8
161,0,0,0,0,0,9
162,0,0,0,0,0,1
163,100,0,0,0,0,2
164,0,0,0,0,0,3
165,0,0,100,100,100,4
166,0,0,0,0,0,5
167,100,100,0,0,0,6
168,0,0,0,0,0,7
169,100,100,100,100,100,8
170,0,0,0,0,0,9
171,0,0,0,0,0,1
172,100,0,0,0,0,2
173,0,0,0,0,0,3
174,0,0,100,100,100,4
175,0,0,0,0,0,5
176,100,100,0,0,0,6
177,0,0,0,0,0,7
178,100,100,100,100,100,8
179,0,0,0,0,0,9
180,0,0,0,0,0,1
181,100,0,0,0,0,2
182,0,0,0,0,0,3
183,0,0,100,100,100,4
184,0,0,0,0,0,5
185,100,100,0,0,0,6
186,0,0,0,0,0,7
187,100,100,100,100,100,8
188,0,0,0,0,0,9
189,0,0,0,0,0,1
190,100,0,0,0,0,2
191,0,0,0,0,0,3
192,0,0,100,100,100,4
193,0,0,0,0,0,5
194,100,100,0,0,0,6
195,0,0,0,0,0,7
196,100,100,100,100,100,8
197,0,0,0,0,0,9
198,0,0,0,0,0,1
199,100,0,0,0,0,2
200,0,0,0,0,0,3
201,0,0,100,100,100,4
202,0,0,0,0,0,5
203,100,100,0,0,0,6
204,0,0,0,0,0,7
205,100,100,100,100,100,8
206,0,0,0,0,0,9
207,0,0,0,0,0,1
208,100,0,0,0,0,2
209,0,0,0,0,0,3
210,0,0,100,100,100,4
211,0,0,0,0,0,5
212,100,100,0,0,0,6
213,0,0,0,0,0,7
214,100,100,100,100,100,8
215,0,0,0,0,0,9
216,0,0,0,0,0,1
217,100,0,0,0,0,2
218,0,0,0,0,0,3
219,0,0,100,100,100,4
220,0,0,0,0,0,5
221,100,100,0,0,0,6
222,0,0,0,0,0,7
223,100,100,100,100,100,8
224,0,0,0,0,0,9
225,0,0,0,0,0,1
226,100,0,0,0,0,2
227,0,0,0,0,0,3
228,0,0,100,100,100,4
229,0,0,0,0,0,5
230,100,100,0,0,0,6
231,0,0,0,0,0,7
232,100,100,100,100,100,8
233,0,0,0,0,0,9
234,0,0,0,0,0,1
235,100,0,0,0,0,2
236,0,0,0,0,0,3
237,0,0,100,100,100,4
238,0,0,0,0,0,5
239,100,100,0,0,0,6
240,0,0,0,0,0,7
241,100,100,100,100,100,8
242,0,0,0,0,0,9
243,0,0,0,0,0,1
244,100,0,0,0,0,2
245,0,0,0,0,0,3
246,0,0,100,100,100,4
247,0,0,0,0,0,5
248,100,100,0,0,0,6
249,0,0,0,0,0,7
250,100,100,100,100,100,8
251,0,0,0,0,0,9
252,0,0,0,0,0,1
253,100,0,0,0,0,2
254,0,0,0,0,0,3
255,0,0,100,100,100,4
256,0,0,0,0,0,5
257,100,100,0,0,0,6
258,0,0,0,0,0,7
259,100,100,100,100,100,8
260,0,0,0,0,0,9
261,0,0,0,0,0,1
262,100,0,0,0,0,2
263,0,0,0,0,0,3
264,0,0,100,100,100,4
265,0,0,0,0,0,5
266,100,100,0,0,0,6
267,0,0,0,0,0,7
268,100,100,100,100,100,8
269,0,0,0,0,0,9
270,0,0,0,0,0,1
271,100,0,0,0,0,2
272,0,0,0,0,0,3
273,0,0,100,100,100,4
274,0,0,0,0,0,5
275,100,100,0,0,0,6
276,0,0,0,0,0,7
277,100,100,100,100,100,8
278,0,0,0,0,0,9
279,0,0,0,0,0,1
280,100,0,0,0,0,2
281,0,0,0,0,0,3
282,0,0,100,100,100,4
283,0,0,0,0,0,5
284,100,100,0,0,0,6
285,0,0,0,0,0,7
286,100,100,100,100,100,8
287,0,0,0,0,0,9
288,0,0,0,0,0,1
289,100,0,0,0,0,2
290,0,0,0,0,0,3
291,0,0,100,100,100,4
292,0,0,0,0,0,5
293,100,100,0,0,0,6
294,0,0,0,0,0,7
295,100,100,100,100,100,8
296,0,0,0,0,0,9
297,0,0,0,0,0,1
298,100,0,0,0,0,2
299,0,0,0,0,0,3
300,0,0,100,100,100,4
301,0,0,0,0,0,5
302,100,100,0,0,0,6
303,0,0,0,0,0,7
304,100,100,100,100,100,8
305,0,0,0,0,0,9
306,0,0,0,0,0,1
307,100,0,0,0,0,2
308,0,0,0,0,0,3
309,0,0,100,100,100,4
310,0,0,0,0,0,5
311,100,100,0,0,0,6
312,0,0,0,0,0,7
313,100,100,100,100,100,8
314,0,0,0,0,0,9
315,0,0,0,0,0,1
316,100,0,0,0,0,2
317,0,0,0,0,0,3
318,0,0,100,100,100,4
319,0,0,0,0,0,5
320,100,100,0,0,0,6
321,0,0,0,0,0,7
322,100,100,100,100,100,8
323,0,0,0,0,0,9
324,0,0,0,0,0,1
325,100,0,0,0,0,2
326,0,0,0,0,0,3
327,0,0,100,100,100,4
328,0,0,0,0,0,5
329,100,100,0,0,0,6
330,0,0,0,0,0,7
331,100,100,100,100,100,8
332,0,0,0,0,0,9
333,0,0,0,0,0,1
334,100,0,0,0,0,2
335,0,0,0,0,0,3
336,0,0,100,100,100,4
337,0,0,0,0,0,5
338,100,100,0,0,0,6
339,0,0,0,0,0,7
340,100,100,100,100,100,8
341,0,0,0,0,0,9
342,0,0,0,0,0,1
343,100,0,0,0,0,2
344,0,0,0,0,0,3
345,0,0,100,100,100,4
346,0,0,0,0,0,5
347,100,100,0,0,0,6
348,0,0,0,0,0,7
349,100,100,100,100,100,8
350,0,0,0,0,0,9
351,0,0,0,0,0,1
352,100,0,0,0,0,2
353,0,0,0,0,0,3
354,0,0,100,100,100,4
355,0,0,0,0,0,5
356,100,100,0,0,0,6
357,0,0,0,0,0,7
358,100,100,100,100,100,8
359,0,0,0,0,0,9
360,0,0,0,0,0,1
361,100,0,0,0,0,2
362,0,0,0,0,0,3
363,0,0,100,100,100,4
364,0,0,0,0,0,5
365,100,100,0,0,0,6
366,0,0,0,0,0,7
367,100,100,100,100,100,8
368,0,0,0,0,0,9
369,0,0,0,0,0,1
370,100,0,0,0,0,2
371,0,0,0,0,0,3
372,0,0,100,100,100,4
373,0,0,0,0,0,5
374,100,100,0,0,0,6
375,0,0,0,0,0,7
376,100,100,100,100,100,8
377,0,0,0,0,0,9
378,0,0,0,0,0,1
379,100,0,0,0,0,2
380,0,0,0,0,0,3
381,0,0,100,100,100,4
382,0,0,0,0,0,5
383,100,100,0,0,0,6
384,0,0,0,0,0,7
385,100,100,100,100,100,8
386,0,0,0,0,0,9
387,0,0,0,0,0,1
388,100,0,0,0,0,2
389,0,0,0,0,0,3
390,0,0,100,100,100,4
391,0,0,0,0,0,5
392,100,100,0,0,0,6
393,0,0,0,0,0,7
394,100,100,100,100,100,8
395,0,0,0,0,0,9
396,0,0,0,0,0,1
397,100,0,0,0,0,2
398,0,0,0,0,0,3
399,0,0,100,100,100,4
400,0,0,0,0,0,5
401,100,100,0,0,0,6
402,0,0,0,0,0,7
403,100,100,100,100,100,8
404,0,0,0,0,0,9
405,0,0,0,0,0,1
406,100,0,0,0,0,2
407,0,0,0,0,0,3
408,0,0,100,100,100,4
409,0,0,0,0,0,5
410,100,100,0,0,0,6
411,0,0,0,0,0,7
412,100,100,100,100,100,8
413,0,0,0,0,0,9
414,0,0,0,0,0,1
415,100,0,0,0,0,2
416,0,0,0,0,0,3
417,0,0,100,100,100,4
418,0,0,0,0,0,5
419,100,100,0,0,0,6
420,0,0,0,0,0,7
421,100,100,100,100,100,8
422,0,0,0,0,0,9
423,0,0,0,0,0,1
424,100,0,0,0,0,2
425,0,0,0,0,0,3
426,0,0,100,100,100,4
427,0,0,0,0,0,5
428,100,100,0,0,0,6
429,0,0,0,0,0,7
430,100,100,100,100,100,8
431,0,0,0,0,0,9
432,0,0,0,0,0,1
433,100,0,0,0,0,2
434,0,0,0,0,0,3
435,0,0,100,100,100,4
436,0,0,0,0,0,5
437,100,100,0,0,0,6
438,0,0,0,0,0,7
439,100,100,100,100,100,8
440,0,0,0,0,0,9
441,0,0,0,0,0,1
442,100,0,0,0,0,2
443,0,0,0,0,0,3
444,0,0,100,100,100,4
445,0,0,0,0,0,5
446,100,100,0,0,0,6
447,0,0,0,0,0,7
448,100,100,100,100,100,8
449,0,0,0,0,0,9
450,0,0,0,0,0,1
451,100,0,0,0,0,2
452,0,0,0,0,0,3
453,0,0,100,100,100,4
454,0,0,0,0,0,5
455,100,100,0,0,0,6
456,0,0,0,0,0,7
457,100,100,100,100,100,8
458,0,0,0,0,0,9
459,0,0,0,0,0,1
460,100,0,0,0,0,2
461,0,0,0,0,0,3
462,0,0,100,100,100,4
463,0,0,0,0,0,5
464,100,100,0,0,0,6
465,0,0,0,0,0,7
466,100,100,100,100,100,8
467,0,0,0,0,0,9
468,0,0,0,0,0,1
469,100,0,0,0,0,2
470,0,0,0,0,0,3
471,0,0,100,100,100,4
472,0,0,0,0,0,5
473,100,100,0,0,0,6
474,0,0,0,0,0,7
475,100,100,100,100,100,8
476,0,0,0,0,0,9
477,0,0,0,0,0,1
478,100,0,0,0,0,2
479,0,0,0,0,0,3
480,0,0,100,100,100,4
481,0,0,0,0,0,5
482,100,100,0,0,0,6
483,0,0,0,0,0,7
484,100,100,100,100,100,8
485,0,0,0,0,0,9
486,0,0,0,0,0,1
487,100,0,0,0,0,2
488,0,0,0,0,0,3
489,0,0,100,100,100,4
490,0,0,0,0,0,5
491,100,100,0,0,0,6
492,0,0,0,0,0,7
493,100,100,100,100,100,8
494,0,0,0,0,0,9
495,0,0,0,0,0,1
496,100,0,0,0,0,2
497,0,0,0,0,0,3
498,0,0,100,100,100,4
499,0,0,0,0,0,5
500,100,100,0,0,0,6
501,0,0,0,0,0,7
502,100,100,100,100,100,8
503,0,0,0,0,0,9
504,0,0,0,0,0,1
505,100,0,0,0,0,2
506,0,0,0,0,0,3
507,0,0,100,100,100,4
508,0,0,0,0,0,5
509,100,100,0,0,0,6
510,0,0,0,0,0,7
511,100,100,100,100,100,8
512,0,0,0,0,0,9
513,0,0,0,0,0,1
514,100,0,0,0,0,2
515,0,0,0,0,0,3
516,0,0,100,100,100,4
517,0,0,0,0,0,5
518,100,100,0,0,0,6
519,0,0,0,0,0,7
520,100,100,100,100,100,8
521,0,0,0,0,0,9
522,0,0,0,0,0,1
523,100,0,0,0,0,2
524,0,0,0,0,0,3
525,0,0,100,100,100,4
526,0,0,0,0,0,5
527,100,100,0,0,0,6
528,0,0,0,0,0,7
529,100,100,100,100,100,8
530,0,0,0,0,0,9
531,0,0,0,0,0,1
532,100,0,0,0,0,2
533,0,0,0,0,0,3
534,0,0,100,100,100,4
535,0,0,0,0,0,5
536,100,100,0,0,0,6
537,0,0,0,0,0,7
538,100,100,100,100,100,8
539,0,0,0,0,0,9
