date,cum_power
2017-10-06,23797.0
2017-10-07,23808.0
2017-10-08,23810.0
2017-10-09,23815.0
2017-10-10,23820.0
2017-10-11,23825.0
2017-10-12,23829.0
2017-10-13,23841.0
2017-10-14,23847.0
2017-10-15,23856.0
2017-10-16,23866.0
2017-10-17,23875.0
2017-10-18,23881.0
2017-10-19,23887.0
2017-10-20,23894.0
2017-10-21,23898.0
2017-10-22,23906.0
2017-10-23,23909.0
2017-10-24,23914.0
2017-10-25,23915.0
2017-10-26,23917.0
2017-10-27,23920.0
2017-10-28,23928.0
2017-10-29,23931.0
2017-10-30,23937.0
2017-10-31,23943.0
2017-11-01,23946.0
2017-11-02,23951.0
2017-11-03,23957.0
2017-11-04,23963.0
2017-11-05,23964.0
2017-11-06,23970.0
2017-11-07,23976.0
2017-11-08,23982.0
2017-11-09,23983.0
2017-11-10,23988.0
2017-11-11,23990.0
2017-11-12,23992.0
2017-11-13,23995.0
2017-11-14,24001.0
2017-11-15,24003.0
2017-11-16,24004.0
2017-11-17,24006.0
2017-11-18,24008.0
2017-11-19,24010.0
2017-11-20,24014.0
2017-11-21,24014.0
2017-11-22,24015.0
2017-11-23,24015.0
2017-11-24,24023.0
2017-11-25,24026.0
2017-11-26,24029.0
2017-11-27,24036.0
2017-11-28,24036.0
2017-11-29,24038.0
2017-11-30,24040.0
2017-12-01,24041.0
2017-12-02,24042.0
2017-12-03,24043.0
2017-12-04,24044.0
2017-12-05,24046.0
2017-12-06,24047.0
2017-12-07,24048.0
2017-12-08,24048.0
2017-12-09,24051.0
2017-12-10,24053.0
2017-12-11,24053.0
2017-12-12,24053.0
2017-12-13,24054.0
2017-12-14,24054.0
2017-12-15,24057.0
2017-12-16,24058.0
2017-12-17,24060.0
2017-12-18,24062.0
2017-12-19,24064.0
2017-12-20,24065.0
2017-12-21,24066.0
2017-12-22,24066.0
2017-12-23,24067.0
2017-12-24,24067.0
2017-12-25,24068.0
2017-12-26,24069.0
2017-12-27,24070.0
2017-12-28,24072.0
2017-12-29,24075.0
2017-12-30,24075.0
2017-12-31,24076.0
2018-01-01,24077.0
2018-01-02,24078.0
2018-01-03,24080.0
2018-01-04,24081.0
2018-01-05,24081.0
2018-01-06,24083.0
2018-01-07,24084.0
2018-01-08,24088.0
2018-01-09,24089.0
2018-01-10,24090.0
2018-01-11,24091.0
2018-01-12,24093.0
2018-01-13,24094.0
2018-01-14,24096.0
2018-01-15,24098.0
2018-01-16,24099.0
2018-01-17,24103.0
2018-01-18,24104.0
2018-01-19,24107.0
2018-01-20,24112.0
2018-01-21,24112.0
2018-01-22,24115.0
2018-01-23,24119.0
2018-01-24,24121.0
2018-01-25,24124.0
2018-01-26,24126.0
2018-01-27,24128.0
2018-01-28,24130.0
2018-01-29,24132.0
2018-01-30,24134.0
2018-01-31,24140.0
2018-02-01,24141.0
2018-02-02,24145.0
2018-02-03,24149.0
2018-02-04,24150.0
2018-02-05,24155.0
2018-02-06,24163.0
2018-02-07,24170.0
2018-02-08,24178.0
2018-02-09,24186.0
2018-02-10,24189.0
2018-02-11,24199.0
2018-02-12,24203.0
2018-02-13,24209.0
2018-02-14,24218.0
2018-02-15,24225.0
2018-02-16,24229.0
2018-02-17,24236.0
2018-02-18,24247.0
2018-02-19,24255.0
2018-02-20,24259.0
2018-02-21,24263.0
2018-02-22,24274.0
2018-02-23,24285.0
2018-02-24,24297.0
2018-02-25,24306.0
2018-02-26,24318.0
2018-02-27,24326.0
2018-02-28,24334.0
2018-03-01,24347.0
2018-03-02,24358.0
2018-03-03,24360.0
2018-03-04,24370.0
2018-03-05,24374.0
2018-03-06,24380.0
2018-03-07,24389.0
2018-03-08,24393.0
2018-03-09,24402.0
2018-03-10,24408.0
2018-03-11,24412.0
2018-03-12,24421.0
2018-03-13,24428.0
2018-03-14,24430.0
2018-03-15,24442.0
2018-03-16,24445.0
2018-03-17,24449.0
2018-03-18,24451.0
2018-03-19,24461.0
2018-03-20,24480.0
2018-03-21,24502.0
2018-03-22,24512.0
2018-03-23,24523.0
2018-03-24,24534.0
2018-03-25,24544.0
2018-03-26,24557.0
2018-03-27,24572.0
2018-03-28,24576.0
2018-03-29,24579.0
2018-03-30,24596.0
2018-03-31,24604.0
2018-04-01,24614.0
2018-04-02,24621.0
2018-04-03,24630.0
2018-04-04,24641.0
2018-04-05,24652.0
2018-04-06,24664.0
2018-04-07,24683.0
2018-04-08,24702.0
2018-04-09,24722.0
2018-04-10,24730.0
2018-04-11,24742.0
2018-04-12,24748.0
2018-04-13,24753.0
2018-04-14,24763.0
2018-04-15,24778.0
2018-04-16,24790.0
2018-04-17,24809.0
2018-04-18,24834.0
2018-04-19,24857.0
2018-04-20,24882.0
2018-04-21,24905.0
2018-04-22,24928.0
2018-04-23,24948.0
2018-04-24,24963.0
2018-04-25,24977.0
2018-04-26,24993.0
2018-04-27,25017.0
2018-04-28,25030.0
2018-04-29,25040.0
2018-04-30,25043.0
2018-05-01,25051.0
2018-05-02,25075.0
2018-05-03,25098.0
2018-05-04,25123.0
2018-05-05,25151.0
2018-05-06,25179.0
2018-05-07,25206.0
2018-05-08,25232.0
2018-05-09,25259.0
2018-05-10,25284.0
2018-05-11,25297.0
2018-05-12,25316.0
2018-05-13,25335.0
2018-05-14,25337.0
2018-05-15,25362.0
2018-05-16,25386.0
2018-05-17,25403.0
2018-05-18,25432.0
2018-05-19,25462.0
2018-05-20,25474.0
2018-05-21,25500.0
2018-05-22,25521.0
2018-05-23,25536.0
2018-05-24,25556.0
2018-05-25,25572.0
2018-05-26,25590.0
2018-05-27,25610.0
2018-05-28,25631.0
2018-05-29,25657.0
2018-05-30,25670.0
2018-05-31,25695.0
2018-06-01,25716.0
2018-06-02,25721.0
2018-06-03,25731.0
2018-06-04,25750.0
2018-06-05,25774.0
2018-06-06,25789.0
2018-06-07,25815.0
2018-06-08,25828.0
2018-06-09,25845.0
2018-06-10,25866.0
2018-06-11,25884.0
2018-06-12,25903.0
2018-06-13,25916.0
2018-06-14,25932.0
2018-06-15,25942.0
2018-06-16,25963.0
2018-06-17,25984.0
2018-06-18,25993.0
2018-06-19,26006.0
2018-06-20,26013.0
2018-06-21,26044.0
2018-06-22,26062.0
2018-06-23,26072.0
2018-06-24,26096.0
2018-06-25,26120.0
2018-06-26,26147.0
2018-06-27,26177.0
2018-06-28,26203.0
2018-06-29,26229.0
2018-06-30,26258.0
2018-07-01,26285.0
2018-07-02,26315.0
2018-07-03,26345.0
2018-07-04,26365.0
2018-07-05,26391.0
2018-07-06,26422.0
2018-07-07,26442.0
2018-07-08,26464.0
2018-07-09,26492.0
2018-07-10,26506.0
2018-07-11,26511.0
2018-07-12,26525.0
2018-07-13,26555.0
2018-07-14,26580.0
2018-07-15,26608.0
2018-07-16,26634.0
2018-07-17,26651.0
2018-07-18,26675.0
2018-07-19,26695.0
2018-07-20,26715.0
2018-07-21,26727.0
2018-07-22,26753.0
2018-07-23,26775.0
2018-07-24,26796.0
2018-07-25,26816.0
2018-07-26,26841.0
2018-07-27,26861.0
2018-07-28,26879.0
2018-07-29,26906.0
2018-07-30,26920.0
2018-07-31,26940.0
2018-08-01,26963.0
2018-08-02,26988.0
2018-08-03,27014.0
2018-08-04,27038.0
2018-08-05,27060.0
2018-08-06,27087.0
2018-08-07,27112.0
2018-08-08,27130.0
2018-08-09,27148.0
2018-08-10,27155.0
2018-08-11,27172.0
2018-08-12,27194.0
2018-08-13,27212.0
2018-08-14,27226.0
2018-08-15,27236.0
2018-08-16,27246.0
2018-08-17,27269.0
2018-08-18,27292.0
2018-08-19,27301.0
2018-08-20,27322.0
2018-08-21,27329.0
2018-08-22,27345.0
2018-08-23,27368.0
2018-08-24,27379.0
2018-08-25,27393.0
2018-08-26,27412.0
2018-08-27,27420.0
2018-08-28,27429.0
2018-08-29,27445.0
2018-08-30,27450.0
2018-08-31,27470.0
2018-09-01,27488.0
2018-09-02,27505.0
2018-09-03,27526.0
2018-09-04,27531.0
2018-09-05,27543.0
2018-09-06,27556.0
2018-09-07,27570.0
2018-09-08,27591.0
2018-09-09,27601.0
2018-09-10,27621.0
2018-09-11,27632.0
2018-09-12,27653.0
2018-09-13,27663.0
2018-09-14,27672.0
2018-09-15,27681.0
2018-09-16,27691.0
2018-09-17,27705.0
2018-09-18,27723.0
2018-09-19,27741.0
2018-09-20,27762.0
2018-09-21,27788.0
2018-09-22,27793.0
2018-09-23,27797.0
2018-09-24,27811.0
2018-09-25,27826.0
2018-09-26,27834.0
2018-09-27,27843.0
2018-09-28,27859.0
2018-09-29,27871.0
2018-09-30,27886.0
2018-10-01,27895.0
2018-10-02,27905.0
2018-10-03,27911.0
2018-10-04,27926.0
2018-10-05,27938.0
2018-10-06,27951.0
2018-10-07,27963.0
2018-10-08,27975.0
2018-10-09,27986.0
2018-10-10,-1.0
2018-10-11,28010.0
2018-10-12,28021.0
2018-10-13,28030.0
2018-10-14,28040.0
2018-10-15,28049.0
2018-10-16,28060.0
2018-10-17,28071.0
2018-10-18,28077.0
2018-10-19,28081.0
2018-10-20,28086.0
2018-10-21,28095.0
2018-10-22,28101.0
2018-10-23,28109.0
2018-10-24,28115.0
2018-10-25,28117.0
2018-10-26,28120.0
