,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ACC0,ACC1,ACC2,GYR0,GYR1,GYR2,ENC0,ENC1,ENC2,ENC3,ENC4,ENC5,BUTTON,SYNC,ts
20,12,0,68,3655,3787,3845,2110,11,6,12,8,21,2770,2174,77,68,2215,1015,12,1,11,840,959,46,16,15,39,1416,904,10,2912,648,38,14,9,8,12,33,898,803,41,23,14,11,13,10,11,23,27,24,-30,-42,69,89,-13,-6,25,28,30,22,20,0,0,12,1154760
21,11,9,70,3654,3790,3847,2109,13,6,6,25,20,2766,2173,77,68,2214,1015,12,5,0,831,950,43,16,14,36,1407,897,10,2899,640,35,12,9,8,10,32,889,795,41,26,16,10,14,11,12,16,27,25,-29,-42,67,90,-20,-9,25,28,30,22,20,0,0,12,1154793
22,11,8,66,3643,3793,3844,2106,10,7,6,10,12,2759,2170,76,68,2216,1016,12,5,0,832,950,44,16,13,37,1407,900,10,2899,640,35,12,9,8,10,32,889,796,38,24,14,10,12,9,9,14,25,22,-29,-41,66,96,-37,-18,25,28,30,22,20,0,0,12,1154826
23,11,8,65,3643,3799,3848,2101,10,6,6,10,21,2741,2165,76,68,2218,1015,12,4,11,839,956,46,17,14,41,1412,909,10,2913,648,38,14,3,8,12,34,897,804,36,24,12,10,12,10,11,14,24,22,-27,-40,62,109,-64,-41,25,28,30,22,20,0,0,12,1154859
24,12,8,64,3636,3794,3843,2094,10,6,5,11,20,2717,2157,76,68,2222,1020,13,5,10,842,957,37,17,15,30,1406,915,10,2916,645,37,13,10,8,12,33,901,805,40,26,16,14,13,11,11,16,28,24,-29,-35,51,131,-138,-62,25,28,30,22,20,0,0,12,1154892
25,10,8,64,3638,3804,3835,2083,10,6,5,10,29,2686,2142,76,57,2228,1027,13,5,11,847,956,47,16,13,40,1399,920,11,2912,641,35,14,9,10,12,32,897,798,40,26,26,13,13,10,11,16,26,24,-39,-42,65,139,-174,-78,25,28,30,22,20,0,0,12,1154925
26,11,6,64,3639,3808,3834,2071,9,5,6,9,18,2662,2134,76,68,2236,1032,12,4,0,853,948,42,16,13,38,1385,915,10,2929,646,34,13,10,8,11,32,901,796,36,24,13,11,12,10,10,13,25,22,-46,-42,66,133,-104,-83,25,28,30,22,20,0,0,12,1154958
27,10,8,63,3639,3813,3825,2061,9,5,5,10,19,2660,2142,76,68,2236,1033,12,5,12,864,959,46,17,14,41,1395,923,11,2947,659,38,14,10,8,13,34,906,807,36,24,14,10,12,10,10,14,26,22,-39,-45,64,137,-60,-76,25,28,30,22,20,0,0,12,1154991
28,11,9,64,3631,3816,3820,2068,10,6,6,8,19,2658,2151,74,66,2241,1033,13,5,0,857,952,42,16,13,38,1387,916,11,2929,657,36,14,9,8,13,32,903,801,40,26,16,14,13,16,10,15,27,24,-26,-47,74,120,-27,-52,25,28,30,22,20,0,0,12,1155024
29,10,8,62,3624,3815,3817,2075,9,6,5,10,20,2645,2151,78,68,2247,1037,12,6,10,862,963,47,17,13,40,1390,922,10,2949,665,38,14,10,8,12,34,905,808,40,25,15,12,12,10,11,13,24,23,-31,-43,73,94,-47,-29,25,28,30,22,20,0,0,12,1155057
30,0,8,64,3621,3811,3815,2071,11,4,6,0,17,2646,2151,72,64,2232,1033,12,5,1,852,959,42,16,14,38,1385,914,10,2935,656,35,13,9,9,11,31,898,801,40,27,16,15,13,11,12,16,27,22,-41,-38,73,67,-25,-25,25,28,30,22,20,0,0,12,1155090
31,0,8,64,3627,3813,3817,2076,10,1,5,8,17,2662,2163,85,68,2241,1042,12,4,0,851,956,42,13,13,37,1388,912,10,2933,646,35,16,10,8,12,32,896,800,37,24,14,13,11,10,10,13,24,22,-42,-33,73,50,26,-24,25,28,30,22,20,0,0,12,1155123
32,10,7,62,3627,3811,3816,2076,10,5,5,9,19,2660,2164,78,69,2243,1042,12,5,11,858,965,48,17,14,41,1394,921,11,2927,665,37,13,10,8,12,34,904,814,13,24,14,13,12,10,11,14,24,21,-39,-34,67,46,52,-21,25,28,30,22,20,0,0,12,1155156
33,11,9,54,3624,3812,3819,2078,10,5,6,0,16,2631,2143,72,64,2230,1032,12,5,0,851,956,44,16,13,39,1383,916,10,2930,656,34,14,10,8,12,30,894,800,61,26,16,13,24,10,10,16,26,24,-36,-36,67,52,1,-11,25,28,30,22,20,0,0,12,1155189
34,10,9,63,3623,3814,3821,2082,10,6,5,0,18,2626,2145,72,64,2231,1032,11,5,0,850,956,44,15,13,38,1383,914,10,2931,667,34,13,10,7,12,32,893,798,38,25,14,12,12,9,10,13,24,23,-41,-33,66,54,-20,2,25,28,30,22,20,0,0,12,1155222
35,10,6,62,3625,3815,3817,2079,12,5,6,10,18,2644,2158,77,68,2241,1040,20,4,11,858,964,48,16,14,40,1394,919,19,2954,665,37,16,9,8,12,34,897,803,37,24,13,13,11,9,10,13,24,22,-44,-23,59,53,-32,9,25,28,30,22,20,0,0,12,1155255
36,12,9,64,3629,3819,3827,2076,9,6,5,8,18,2658,2163,76,67,2241,1038,11,4,10,869,959,48,17,16,40,1404,920,10,2993,673,39,14,1,8,13,32,887,798,36,27,17,14,13,10,11,16,28,24,-36,-23,44,61,-37,30,25,28,30,22,20,0,0,12,1155288
37,11,8,65,3642,3829,3830,2082,11,6,6,10,20,2693,2182,76,68,2246,1046,12,4,0,868,951,45,15,13,37,1405,911,10,3015,673,36,12,9,8,11,32,873,793,40,26,16,11,11,11,11,14,27,24,-46,-25,56,66,-15,18,25,28,31,22,20,0,0,12,1155321
38,10,7,64,3645,3835,3832,2082,9,15,6,8,20,2713,2198,77,67,2254,1053,11,5,11,876,961,47,18,14,40,1414,919,10,3071,684,37,13,9,8,12,32,879,799,42,25,14,12,12,10,10,14,24,23,-43,-27,58,63,-5,1,25,28,31,22,20,0,0,12,1155354
39,11,9,66,3646,3838,3831,2086,11,7,6,9,19,2710,2194,77,68,2254,1053,13,4,0,869,952,43,16,14,37,1406,914,10,3076,675,36,13,9,8,12,32,873,794,41,26,16,14,24,10,11,15,27,25,-38,-26,65,67,-6,4,25,28,31,22,20,0,0,12,1155387
40,10,8,65,3647,3839,3833,2090,10,5,7,10,20,2704,2192,77,68,2256,1055,12,4,11,875,960,46,16,13,40,1405,920,10,3090,682,38,13,10,8,12,33,881,800,38,25,13,11,12,10,10,13,25,21,-41,-25,66,83,-6,9,25,28,31,22,20,0,0,12,1155420
41,10,9,65,3646,3839,3834,2094,16,6,5,9,21,2709,2197,77,67,2256,1054,12,5,13,875,962,46,17,14,40,1409,920,10,3083,683,38,16,9,8,12,33,882,798,42,27,16,12,13,11,11,16,27,23,-42,-25,64,109,-25,10,25,28,31,22,20,0,0,12,1155453
42,12,8,67,3650,3842,3834,2101,11,6,5,10,21,2721,2205,77,64,2255,1051,13,4,0,871,953,44,16,12,38,1403,911,10,3069,675,44,13,9,8,12,32,876,789,41,27,14,13,12,10,11,14,28,24,-35,-26,59,129,-38,16,25,28,31,22,19,0,0,12,1155486
43,0,9,65,3657,3838,3831,2102,9,6,5,0,12,2727,2204,74,65,2251,1048,11,4,0,869,955,44,15,13,37,1404,909,10,3098,685,35,14,9,8,11,32,875,789,38,24,15,12,12,9,10,13,24,22,-39,-27,57,141,-47,12,25,28,31,22,19,0,0,12,1155519
44,10,8,65,3676,3833,3834,2102,9,5,5,9,20,2769,2216,78,68,2265,1062,13,5,12,881,965,36,16,14,41,1420,915,10,3148,685,39,16,10,9,13,37,879,795,39,25,14,11,8,10,11,14,25,22,-41,-31,59,142,-40,3,25,28,31,22,19,0,0,12,1155552
45,11,9,69,3692,3831,3837,2106,10,6,6,10,22,2795,2238,86,69,2273,1068,12,4,22,881,963,48,17,12,40,1426,916,12,3187,688,38,15,10,8,12,34,881,795,50,28,15,12,13,11,11,15,26,24,-42,-35,59,136,-40,-4,25,28,31,22,19,0,0,12,1155585
46,11,9,69,3702,3825,3839,2110,10,8,5,0,21,2813,2241,75,65,2273,1065,12,5,1,881,956,43,16,12,37,1422,906,9,3188,679,36,14,9,8,10,32,874,791,42,26,20,13,12,10,11,15,25,24,-44,-39,58,127,-44,-5,25,28,31,22,19,0,0,12,1155618
47,10,9,68,3713,3822,3842,2113,9,5,5,10,23,2842,2255,78,68,2289,1078,11,0,12,882,965,48,17,15,41,1436,912,1,3247,687,38,14,10,9,13,33,883,798,41,25,14,12,12,10,10,13,25,21,-47,-38,58,119,-38,-3,25,28,31,22,19,0,0,12,1155651
48,11,8,76,3727,3819,3845,2120,12,6,6,0,24,2859,2260,74,65,2286,1075,12,5,1,871,955,42,15,12,37,1435,900,10,3261,682,36,14,9,8,12,32,879,795,42,26,15,14,14,14,8,14,26,24,-49,-37,56,117,-33,-1,25,28,31,22,19,0,0,12,1155684
49,9,8,70,3734,3816,3848,2128,9,6,4,9,25,2898,2280,78,71,2310,1086,12,8,12,874,966,47,16,15,41,1440,905,8,3295,691,38,14,10,7,12,34,888,804,40,25,15,10,12,8,10,12,24,22,-48,-39,54,115,-30,0,25,28,31,22,19,0,0,12,1155717
50,12,10,71,3739,3815,3850,2132,10,6,6,10,24,2925,2302,79,68,2302,1089,13,4,13,872,969,46,17,14,40,1458,898,10,3307,684,36,13,10,8,11,32,882,799,42,27,26,13,14,11,11,16,28,21,-50,-40,56,112,-32,3,25,28,31,22,19,0,0,12,1155750
51,11,8,74,3750,3804,3853,2136,2,6,4,0,19,2947,2297,74,65,2299,1083,12,5,1,844,961,42,14,13,37,1455,886,8,3333,696,36,15,10,8,11,32,884,802,40,34,13,13,12,10,8,13,25,22,-51,-40,55,109,-28,4,25,28,31,22,19,0,0,12,1155783
52,11,8,72,3755,3803,3855,2139,9,6,2,7,27,2985,2318,80,70,2310,1096,12,4,20,862,972,46,16,14,40,1469,889,9,3338,687,37,14,10,8,12,32,883,805,40,25,14,12,12,10,10,13,25,22,-51,-40,55,105,-25,6,25,28,31,22,19,0,0,12,1155816
53,11,9,74,3761,3799,3855,2143,11,5,5,11,38,3007,2325,80,70,2315,1097,9,4,2,854,965,42,17,14,37,1465,881,9,3337,688,37,15,10,12,12,32,882,805,40,25,14,11,12,11,11,14,25,22,-51,-40,56,102,-22,6,25,28,31,22,19,0,0,12,1155849
54,11,8,76,3765,3796,3858,2148,10,5,6,0,26,3013,2326,75,66,2314,1095,12,4,1,852,964,42,15,14,37,1465,878,8,3336,691,37,14,10,8,12,32,884,805,33,26,14,12,12,9,11,12,25,21,-52,-38,56,102,-15,5,25,28,31,22,19,0,0,12,1155882
55,10,8,74,3765,3795,3859,2149,10,6,4,10,30,3027,2338,80,73,2326,1106,12,7,2,851,965,44,16,13,38,1467,878,9,3336,688,36,14,10,8,11,32,884,807,40,24,14,13,12,9,10,14,24,22,-49,-40,57,104,-10,1,25,28,31,22,19,0,0,12,1155915
56,12,9,73,3763,3791,3862,2151,11,6,6,10,27,3025,2339,80,80,2330,1106,10,4,2,852,973,46,18,13,39,1468,880,10,3337,689,34,14,10,8,2,32,886,806,40,26,14,12,12,10,11,13,25,23,-48,-41,61,102,-10,-1,25,28,31,22,19,0,0,12,1155948
57,12,9,75,3764,3797,3865,2153,10,6,5,17,28,3025,2341,81,72,2333,1109,12,4,2,850,963,43,16,14,37,1466,879,10,3339,690,47,16,10,8,11,33,886,806,39,10,14,12,12,10,9,14,24,21,-49,-40,58,99,-13,0,25,28,31,22,19,0,0,12,1155981
58,0,9,74,3759,3791,3865,2150,10,7,5,4,27,3010,2332,76,66,2330,1103,12,4,1,852,961,45,16,14,38,1465,881,9,3341,689,37,12,10,8,11,32,886,804,40,28,14,12,12,10,11,13,24,23,-50,-39,57,100,-13,-2,25,28,31,22,19,0,0,12,1156014
59,30,10,76,3766,3799,3876,2156,2,6,5,9,27,3019,2340,80,71,2339,1109,12,5,13,862,971,46,17,14,40,1473,890,10,3343,689,37,14,10,8,12,32,887,805,41,22,14,13,10,9,10,13,24,24,-50,-39,58,101,-8,-2,25,28,31,22,19,0,0,12,1156047
60,11,8,85,3767,3799,3879,2156,11,6,6,10,28,3018,2341,80,72,2343,1111,13,4,1,852,961,44,16,14,37,1465,883,9,3346,697,36,15,10,8,12,31,890,806,40,25,14,13,12,10,11,13,24,22,-51,-38,56,104,-10,1,25,28,31,22,19,0,0,12,1156080
61,12,10,75,3767,3799,3883,2168,10,6,14,8,27,3012,2341,80,82,2346,1112,12,4,13,863,970,48,17,23,41,1465,893,10,3363,695,39,16,10,9,12,35,896,811,40,27,14,12,12,11,10,14,25,22,-50,-40,60,103,0,0,25,28,31,22,19,0,0,12,1156113
62,11,10,76,3772,3802,3886,2154,14,7,6,10,27,3004,2339,80,71,2347,1112,12,0,12,867,969,44,17,15,41,1470,896,10,3369,695,40,14,11,8,12,34,898,811,64,27,16,12,13,11,11,21,27,24,-52,-40,56,101,-3,1,25,28,31,22,19,0,0,12,1156146
63,10,8,76,3772,3804,3888,2154,11,3,6,26,28,2996,2333,80,72,2352,1117,14,5,2,860,959,43,16,13,37,1459,891,10,3361,694,36,14,9,8,12,32,893,803,42,27,16,14,12,10,11,16,32,24,-54,-38,51,101,14,-6,25,28,31,22,19,0,0,12,1156179
64,10,10,74,3765,3805,3886,2149,10,6,6,0,25,2967,2325,75,68,2345,1111,12,10,1,871,962,45,16,14,38,1455,897,10,3361,675,35,13,9,8,12,32,894,802,41,25,12,13,11,10,11,14,25,22,-57,-39,51,101,36,-19,25,28,31,22,19,0,0,12,1156212
65,12,10,74,3752,3813,3881,2153,10,6,6,21,25,2935,2324,80,72,2351,1122,12,5,11,887,969,48,16,15,42,1450,911,9,3374,697,38,14,11,19,13,34,908,814,39,27,14,11,12,9,11,14,24,22,-55,-36,48,111,34,-37,25,28,31,22,19,0,0,12,1156245
66,10,8,72,3731,3816,3874,2156,10,6,5,0,24,2860,2295,76,68,2340,1112,13,5,2,884,974,44,16,14,38,1423,909,11,3353,686,36,12,10,7,11,33,903,809,40,24,14,12,12,10,12,14,24,22,-43,-36,54,109,-6,-37,25,28,31,22,19,0,0,12,1156278
67,10,8,70,3718,3819,3879,2162,11,6,4,9,22,2822,2290,79,71,2343,1119,13,4,12,892,978,48,18,14,42,1422,926,10,3348,686,36,13,9,8,12,32,916,810,41,22,14,12,12,10,10,14,24,22,-46,-36,57,106,-35,-26,25,28,31,22,19,0,0,12,1156311
68,0,8,69,3714,3817,3887,2163,10,3,5,10,23,2797,2283,78,69,2336,1115,13,5,1,882,972,43,16,13,38,1409,913,10,3345,687,37,14,9,9,12,32,909,811,41,24,14,13,11,10,10,14,24,21,-50,-35,62,97,-9,-20,25,28,31,22,19,0,0,12,1156344
69,10,9,66,3709,3826,3893,2154,10,5,5,0,22,2769,2270,75,66,2324,1105,13,6,1,879,971,44,16,12,38,1406,912,10,3345,683,36,13,8,8,11,31,906,810,40,24,13,12,12,9,9,6,24,21,-43,-33,57,92,12,-14,25,28,31,22,19,0,0,12,1156377
70,28,8,61,3703,3821,3900,2153,11,6,3,9,21,2758,2274,78,70,2322,1109,12,5,11,885,980,48,17,15,49,1414,921,10,3361,689,28,14,10,8,12,34,914,810,41,25,14,13,12,10,10,15,25,24,-39,-36,63,85,4,-6,25,28,31,22,19,0,0,12,1156410
71,11,8,69,3698,3823,3906,2152,11,7,7,9,21,2748,2271,78,70,2313,1105,14,4,12,882,979,47,16,14,41,1417,921,10,3363,690,38,16,7,9,12,35,912,815,42,25,16,14,12,10,12,16,26,25,-42,-38,70,74,7,4,25,28,31,22,19,0,0,12,1156443
72,11,9,68,3694,3828,3910,2153,11,6,5,0,21,2742,2262,75,66,2303,1096,13,5,1,873,971,43,15,13,39,1409,914,10,3345,679,35,14,10,8,11,31,900,806,24,26,23,13,13,10,11,16,27,24,-43,-40,76,62,43,7,25,28,31,22,19,0,0,12,1156476
73,10,9,66,3692,3834,3911,2155,10,7,6,22,21,2745,2272,79,70,2306,1098,11,5,12,878,977,47,16,13,42,1416,923,10,3367,690,39,15,11,8,12,32,904,813,40,25,14,10,12,10,11,12,25,22,-37,-46,74,62,56,5,25,28,31,22,19,0,0,12,1156509
74,11,8,68,3683,3843,3919,2158,10,6,6,9,21,2730,2267,78,71,2304,1095,13,4,0,866,968,43,16,13,38,1403,915,10,3337,678,36,13,9,8,12,32,896,805,41,26,15,13,12,10,11,24,26,30,-24,-43,57,77,19,20,25,28,31,23,19,0,0,12,1156542
75,9,7,62,3683,3845,3927,2169,8,6,5,10,19,2723,2260,79,71,2301,1094,13,4,27,873,978,47,17,14,42,1410,921,10,3353,684,38,14,8,8,12,33,902,811,41,24,14,11,11,9,10,13,24,22,-34,-46,64,94,-12,38,25,28,31,22,19,0,0,12,1156575
76,11,8,60,3684,3845,3923,2165,11,4,6,0,20,2727,2264,78,70,2302,1094,13,4,12,874,976,48,17,15,40,1412,919,10,3358,687,45,14,10,10,12,34,898,811,43,23,16,12,12,11,11,14,26,24,-45,-42,65,97,9,30,25,28,31,23,19,0,0,12,1156608
77,11,8,66,3691,3858,3935,2168,11,6,3,9,26,2700,2243,79,71,2285,1080,13,4,12,881,968,46,16,14,40,1403,922,10,3366,699,36,16,9,9,12,34,894,825,41,25,15,14,13,11,10,15,27,23,-42,-40,61,104,44,22,25,28,31,23,22,0,0,12,1156641
78,1,8,64,3719,3883,3957,2183,10,6,5,0,18,2614,2164,74,66,2211,1033,12,6,0,896,954,46,16,13,37,1386,921,10,3365,713,34,13,10,7,12,32,864,841,43,27,15,14,13,11,12,15,27,24,-38,-40,65,103,51,23,25,28,31,23,33,0,0,12,1156674
79,18,8,64,3785,3927,3993,2200,9,6,6,0,17,2533,2088,71,66,2139,999,11,5,0,918,959,45,16,13,38,1376,920,11,3391,733,35,13,10,8,12,32,818,832,40,25,13,13,12,10,11,13,25,23,-36,-35,68,102,19,31,25,28,31,23,49,0,0,12,1156707
80,0,8,59,3837,3969,4024,2200,9,5,6,0,16,2473,2018,73,66,2089,984,12,4,0,928,970,42,15,12,38,1373,917,11,3371,733,37,13,10,8,11,32,771,804,40,25,13,12,12,9,10,12,23,22,-39,-35,60,103,1,32,25,28,31,23,62,0,0,12,1156740
81,12,8,56,3877,4003,4068,2190,9,6,5,9,22,2429,1961,77,69,2057,980,12,4,13,952,998,48,17,13,41,1383,915,6,3322,738,38,14,10,8,11,34,743,779,41,24,17,12,12,10,10,14,24,22,-42,-36,66,115,0,24,25,28,31,22,74,0,0,12,1156773
82,12,7,57,3895,4026,4095,2154,8,6,6,8,16,2378,1890,76,68,2026,963,11,4,0,956,1003,43,16,14,38,1367,901,13,3271,734,35,12,10,8,12,32,731,754,41,28,16,14,13,11,9,14,26,24,-37,-40,61,113,9,17,25,28,31,22,82,0,0,12,1156806
83,6,7,56,3889,4044,4095,2098,9,10,5,9,27,2327,1832,76,70,2002,968,11,5,12,966,1012,45,17,14,41,1369,902,12,3275,742,38,16,10,8,13,34,739,750,39,25,15,12,11,10,11,13,22,22,-38,-41,60,111,-20,19,25,28,31,23,85,0,0,12,1156839
84,11,8,56,3872,4053,4095,2032,10,5,5,9,16,2298,1793,75,68,1980,963,11,4,12,966,1010,48,8,15,41,1370,900,13,3244,738,37,14,10,9,2,35,745,742,42,27,16,14,13,11,16,16,26,25,-39,-42,60,104,-31,16,25,28,31,22,87,0,0,12,1156872
85,12,9,56,3857,4065,4095,1994,10,7,5,8,16,2306,1779,75,67,1964,956,12,5,0,952,989,42,16,13,37,1367,889,11,3197,728,35,11,10,8,11,32,750,730,60,27,15,14,13,11,11,14,26,24,-43,-43,65,101,-24,17,25,28,31,22,87,0,0,12,1156905
86,10,8,55,3845,4069,4095,1979,8,6,5,0,14,2319,1785,72,64,1953,943,11,4,1,944,978,42,16,12,36,1368,886,12,3175,725,36,14,10,6,11,32,761,725,40,29,13,13,12,9,10,13,23,21,-45,-45,64,91,-7,12,25,28,31,22,87,0,0,12,1156938
87,11,8,55,3848,4069,4095,2011,8,0,5,8,16,2375,1837,76,67,1962,945,10,4,1,935,971,44,16,14,38,1382,889,12,3153,719,34,14,10,8,11,32,779,718,39,25,14,13,12,10,10,13,25,22,-39,-46,61,85,3,11,25,28,31,22,87,0,0,12,1156971
88,10,9,60,3846,4061,4095,2077,10,6,5,0,17,2427,1882,72,64,1980,935,11,6,1,909,954,42,16,12,37,1389,897,11,3138,702,35,12,9,9,12,32,813,708,39,21,13,11,12,9,10,13,24,22,-38,-43,67,82,-10,16,25,28,31,22,84,0,0,12,1157004
89,11,9,59,3803,4039,4095,2091,8,5,5,9,18,2475,1926,77,69,2017,943,12,4,12,917,952,44,17,14,40,1396,915,10,3164,692,37,16,9,9,12,34,857,715,39,23,14,12,12,10,10,14,24,21,-41,-44,65,87,-8,15,25,28,31,22,79,0,0,12,1157037
90,12,9,60,3756,4001,4069,2076,7,6,6,9,18,2498,1956,75,68,2044,953,12,4,12,909,943,47,17,14,41,1394,922,20,3147,683,37,15,10,8,13,34,884,726,41,27,16,16,13,10,12,16,28,24,-38,-44,63,88,0,12,25,28,31,22,71,0,0,12,1157070
91,0,8,60,3703,3951,4006,2044,10,6,5,0,18,2509,1980,71,64,2080,966,12,4,0,894,924,42,14,12,37,1384,915,10,3108,669,34,14,9,8,12,32,899,739,39,24,14,11,12,10,11,14,24,21,-38,-44,65,88,-9,12,25,28,31,22,63,0,0,12,1157103
